Customer_Id,Name,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Label,Results
10.42.0.211-10.42.0.1-16360-53-17,Josheh,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",13,6,7.1,3.0,Good,1303.01,41.70257342,17 Years and 10 Months,No,246.99231949999998,232.8603838,High_spent_Small_value_payments,998.8692968,0,0
10.42.0.151-10.42.0.1-21361-53-17,Langep,34,_______,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,7,11.1,,Good,1303.01,26.51981539,17 Years and 11 Months,No,246.99231949999998,__10000__,High_spent_Small_value_payments,715.7413674,1,1
10.42.0.42-54.230.38.132-38623-80-6,Langep,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,5,9.1,3.0,_,1303.01,39.50164811,,No,246.99231949999998,825.2162699,Low_spent_Medium_value_payments,426.51341060000004,1,1
10.42.0.211-52.84.29.154-52848-443-6,Langep,34,_______,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",10,5,7.1,3.0,Good,1303.01,31.37614957,18 Years and 1 Months,No,246.99231949999998,430.9475279,Low_spent_Large_value_payments,810.7821527000001,1,1
10.42.0.211-10.42.0.1-39690-53-17,Langep,34,Engineer,143162.64,12187.22,1,5,8,967,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,39.78399346,18 Years and 2 Months,No,246.99231949999998,257.8080994,High_spent_Medium_value_payments,963.9215811,0,0
172.217.9.227-10.42.0.42-443-51907-6,,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,38.06862363,18 Years and 3 Months,No,246.99231949999998,263.1741632,High_spent_Small_value_payments,968.5555174000001,1,1
180.149.136.247-10.42.0.211-80-44079-6,Langep,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,38.37475295,18 Years and 4 Months,No,246.99231949999998,__10000__,High_spent_Small_value_payments,895.4945832000001,0,0
10.42.0.211-52.45.132.202-44444-80-6,Jasond,54,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,0,6,1.99,4.0,Good,632.46,26.54422872,17 Years and 3 Months,No,16.41545166,81.22885871,Low_spent_Large_value_payments,433.604773,1,1
172.217.12.161-10.42.0.211-443-56082-6,Jasond,54,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,3,1.99,4.0,Good,632.46,35.27998178,17 Years and 4 Months,No,16.41545166,124.8818199,Low_spent_Small_value_payments,409.95181180000003,1,1
10.42.0.211-103.235.46.212-35014-443-6,Jasond,55,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,3,9,1.99,4.0,Good,632.46,32.30116343,17 Years and 5 Months,NM,16.41545166,83.4065088,High_spent_Medium_value_payments,411.4271229,1,1
10.42.0.211-10.42.0.1-23680-53-17,Jasond,55,Entrepreneur,30689.89_,2612.490833,2,5,4,1,Not Specified,7,6,-2.01,4.0,Good,632.46,38.13234819,17 Years and 6 Months,No,16.41545166,272.3340374,Low_spent_Small_value_payments,262.4995943,0,0
10.42.0.211-10.42.0.1-59851-53-17,Jasond,55,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,-1.01,4.0,Good,632.46,41.15431655,17 Years and 7 Months,No,16.41545166,__10000__,Low_spent_Large_value_payments,359.3749155,0,0
8.0.6.4-8.6.0.1-0-0-0,Jasond,55,_______,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,-3.01,4.0,_,632.46,27.44542179,17 Years and 8 Months,No,16.41545166,84.95284817,High_spent_Small_value_payments,419.8807835,0,0
10.42.0.211-66.198.24.224-60677-80-6,Jasond,55,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,,1.99,4.0,Good,632.46,26.05639528,17 Years and 9 Months,No,16.41545166,71.28367488,Low_spent_Large_value_payments,443.5499568,1,1
10.42.0.211-121.12.98.64-52152-80-6,Jasond,55,Entrepreneur,30689.89,2612.490833,2,5,4,-100,Not Specified,4,9,1.99,4.0,Good,632.46,27.33251493,17 Years and 10 Months,No,16.41545166,125.6172505,High_spent_Small_value_payments,379.21638110000004,0,0
10.42.0.151-52.84.29.154-34143-443-6,Deepaa,21,Developer,35547.71_,2853.3091670000003,7,5,5,0,,5,,2.58,4.0,Standard,943.86,39.79776423,30 Years and 8 Months,Yes,0.0,276.7253943,!@9#%8,288.6055223,0,0
172.217.10.106-10.42.0.42-443-46765-6,Deepaa,21,Developer,35547.71,,7,5,5,0,,9,,2.58,4.0,Standard,943.86,27.02036025,30 Years and 9 Months,NM,0.0,74.44364105,High_spent_Medium_value_payments,460.8872756,1,1
183.79.250.123-10.42.0.42-443-59113-6,Deepaa,21,Developer,35547.71,2853.3091670000003,7,5,5,-100,,5,12,2.58,4.0,Standard,943.86,23.46230304,30 Years and 10 Months,Yes,0.0,173.138651,Low_spent_Medium_value_payments,392.19226569999995,1,1
211.236.244.151-10.42.0.211-80-53161-6,Deepaa,21,Developer,35547.71,2853.3091670000003,7,5,5,0,,1,15,2.58,4.0,_,943.86,28.92495378,30 Years and 11 Months,Yes,0.0,96.78548509,High_spent_Medium_value_payments,438.54543160000003,0,0
140.205.230.8-10.42.0.211-80-38420-6,Deepaa,21,Developer,35547.71,2853.3091670000003,7,5,5,0,,9,17,2.58,4.0,_,943.86,41.77618715,31 Years and 0 Months,Yes,0.0,62.72327834,High_spent_Small_value_payments,482.6076383,1,1
172.217.5.228-10.42.0.211-443-44464-6,Deepaa,21,Developer,35547.71,,7,5,5,0_,,5,15,2.58,4.0,Standard,943.86,29.21755633,31 Years and 1 Months,Yes,0.0,37.64363789,High_spent_Medium_value_payments,497.68727879999994,0,0
172.217.10.78-10.42.0.151-443-51000-6,Deepaa,21,Developer,35547.71,2853.3091670000003,7,5,5,0,,10,15,2.58,4.0,Standard,943.86,26.26382269,31 Years and 2 Months,Yes,0.0,181.0119827,Low_spent_Small_value_payments,394.3189339,0,0
172.217.12.163-10.42.0.42-443-42644-6,Deepaa,21,Developer,35547.71,2853.3091670000003,7,5,5,-100,,1,15,2.58,4.0,Standard,943.86,25.86292247,31 Years and 3 Months,Yes,0.0,181.330901,High_spent_Small_value_payments,364.00001569999995,0,0
183.79.248.252-10.42.0.151-443-57233-6,Np,31,Lawyer,73928.46,,4,1288,8,0,,12,10,10.14,2.0,Good,548.2,39.96268501,,No,15015.0,98.67440994,High_spent_Large_value_payments,740.1960901000001,0,0
10.42.0.211-10.42.0.1-3648-53-17,Np,31,_______,73928.46,5988.705,4,5,8,0,,8,7,10.14,2.0,Good,548.2,42.769864399999996,32 Years and 0 Months,NM,0.0,172.9392145,Low_spent_Medium_value_payments,705.9312855000001,1,1
10.42.0.211-64.71.142.124-55662-443-6,Np,31,Lawyer,73928.46,5988.705,4,5,8,0,,8,7,10.14,2.0,Good,548.2,40.71218653,,No,0.0,150.0597343,High_spent_Medium_value_payments,698.8107657,0,0
10.42.0.211-10.42.0.1-16610-53-17,Np,31,Lawyer,73928.46,5988.705,4,5,8,0,,8,7,10.14,2.0,Good,548.2,30.20165771,32 Years and 2 Months,No,0.0,618.2023913,Low_spent_Small_value_payments,270.6681087,1,1
10.42.0.42-54.230.39.201-50855-443-6,Np,31,Lawyer,73928.46,5988.705,4,5,5318,0,,11,7,10.14,2.0,_,548.2,26.33331043,32 Years and 3 Months,No,0.0,177.9518357,Low_spent_Large_value_payments,690.9186642999999,1,1
180.149.134.221-10.42.0.211-80-34069-6,Np,31,Lawyer,73928.46,5988.705,4,5,8,0,,7,7,10.14,2.0,Good,548.2,35.27543652,,No,15515.0,235.790325,Low_spent_Large_value_payments,633.080175,0,0
172.217.10.46-10.42.0.151-443-57933-6,Np,31,Lawyer,73928.46,5988.705,4,5,8,0,,8,4,9.14,2.0,_,548.2,36.62479126,32 Years and 5 Months,No,0.0,348.5093995,High_spent_Small_value_payments,510.36110049999996,0,0
172.217.9.228-10.42.0.211-443-57975-6,Np,31,Lawyer,73928.46,5988.705,4,5,8,0,,8,7,10.14,,Good,548.2,31.58098967,32 Years and 6 Months,No,0.0,42.63559025,!@9#%8,796.2349097,1,1
10.42.0.151-10.42.0.1-58664-53-17,Nadiaq,33,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,2.0,Good,352.16,32.200509000000004,30 Years and 7 Months,NM,137.6446054,378.1712535,High_spent_Medium_value_payments,858.4624743999999,0,0
182.22.65.137-10.42.0.151-443-41720-6,Nadiaq,34,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",-1,2,15.34,4.0,Good,352.16,31.98371001,30 Years and 8 Months,No,137.6446054,698.8732707,High_spent_Small_value_payments,547.7604572,1,1
172.217.10.131-10.42.0.42-443-55775-6,Nadiaq,34,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,4.0,Good,352.16,31.8031345,30 Years and 9 Months,NM,911.2201792999999,188.0643211,High_spent_Large_value_payments,1038.569407,1,1
10.42.0.211-10.42.0.1-19506-53-17,Nadiaq,34,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,8.34,4.0,Good,352.16,42.645784899999995,30 Years and 10 Months,No,23834.0,337.4349563,High_spent_Medium_value_payments,899.1987716,0,0
192.229.173.136-10.42.0.151-443-41106-6,Nadiaq,34,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,4,9.34,4.0,Good,352.16,40.90251715,30 Years and 11 Months,No,32662.0,263.3789089,High_spent_Large_value_payments,963.254819,0,0
10.42.0.211-66.231.239.124-39985-80-6,Nadiaq,34,Lawyer,131313.4,,0,1,8,-100,"Credit-Builder Loan, and Mortgage Loan",0,3_,11.34,4.0,Good,352.16,41.98016961,31 Years and 0 Months,No,911.2201792999999,86.56638801,High_spent_Large_value_payments,1140.06734,0,0
10.42.0.151-31.13.71.37-55246-443-6,Nadiaq,34,Lawyer,10909427,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2_,9.34,4.0,Good,352.16,26.94756515,31 Years and 1 Months,No,911.2201792999999,930.3918978,!@9#%8,326.2418302,1,1
10.42.0.211-52.84.134.157-46433-443-6,Nadiaq,34,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,9.34,4.0,Good,352.16,29.18791265,31 Years and 2 Months,No,911.2201792999999,870.5223817,Low_spent_Medium_value_payments,396.11134619999996,1,1
10.42.0.42-106.11.129.143-55646-443-6,Annk,43,Media_Manager,34081.38_,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5.0,Standard,1704.18,24.44806275,,NM,70.47833267,162.4410092,Low_spent_Large_value_payments,298.19215810000003,0,0
10.42.0.151-119.167.164.21-52978-80-6,Annk,30,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,5.0,_,1704.18,35.17116002,14 Years and 8 Months,Yes,70.47833267,38.43698276,High_spent_Large_value_payments,392.19618460000004,0,0
10.42.0.42-23.217.155.120-47551-80-6,Annk,30,Media_Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",31,14,17.13,5.0,Standard,1704.18,35.11155247,14 Years and 9 Months,Yes,70.47833267,199.7207655,Low_spent_Large_value_payments,260.9124018,1,1
10.42.0.42-104.192.110.245-45450-80-6,Annk,30,_______,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",34,14,21.13,5.0,_,1704.18,29.76215931,14 Years and 10 Months,Yes,70.47833267,220.5521919,Low_spent_Small_value_payments,260.0809754,1,1
172.217.7.227-10.42.0.42-443-44292-6,Annk,30,_______,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",27,14,17.13,5.0,_,1704.18,30.20621422,14 Years and 11 Months,Yes,70.47833267,,High_spent_Large_value_payments,397.22835469999995,1,1
172.217.10.14-10.42.0.151-443-46553-6,Annk,30,Media_Manager,34081.38,2611.115,8,7,15,-100,"Not Specified, Auto Loan, and Student Loan",30,14,18.13,5.0,Standard,1704.18,31.17087232,15 Years and 0 Months,Yes,70.47833267,,!@9#%8,410.67436610000004,1,1
10.42.0.211-64.71.142.110-60202-443-6,Annk,30,Media_Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5.0,Standard,1704.18,38.43850508,15 Years and 1 Months,NM,70.47833267,55.45978064,High_spent_Small_value_payments,395.1733867,0,0
10.42.0.42-23.217.155.120-47528-80-6,Annk,30,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9.0,_,1704.18,33.82348834,15 Years and 2 Months,Yes,70.47833267,29.32636371,High_spent_Medium_value_payments,411.3068036,1,1
10.42.0.211-23.52.146.64-33391-443-6,,23,Doctor,114838.41,9843.8675,2,5,7,-100,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,11,8.24,3.0,Good,1377.74,33.66455429,21 Years and 4 Months,No,226.89279190000002,215.1935159,High_spent_Small_value_payments,802.3004421,1,1
10.42.0.1-10.42.0.42-53-15765-17,Charlie Zhur,23,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,8,_,3.0,Good,1377.74,27.62632549,21 Years and 5 Months,NM,226.89279190000002,212.2356022,High_spent_Large_value_payments,785.2583559,1,1
10.42.0.42-123.151.79.150-45205-80-6,Charlie Zhur,23,Doctor,114838.41_,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,_,3.0,Good,1377.74,35.1415673,21 Years and 6 Months,NM,226.89279190000002,470.3857957,High_spent_Small_value_payments,547.1081624,0,0
10.42.0.151-52.218.65.100-51779-80-6,Charlie Zhur,23,Doctor,114838.41,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,14,8.24,8.0,Good,1377.74,30.45903184,21 Years and 7 Months,No,226.89279190000002,225.0820495,!@9#%8,772.4119086000001,0,0
10.42.0.211-23.23.164.82-58525-443-6,Charlie Zhur,23,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,11.24,8.0,Good,1377.74,29.81918663,21 Years and 8 Months,No,226.89279190000002,649.8093642,High_spent_Small_value_payments,367.6845939,1,1
203.205.158.62-10.42.0.151-80-53899-6,Charlie Zhur,24,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,14,8.24,8.0,_,1377.74,26.11421387,21 Years and 9 Months,NM,226.89279190000002,546.3805705,!@9#%8,491.1133876,0,0
10.42.0.211-69.172.216.58-44979-443-6,Charlie Zhur,24,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,,8.24,8.0,Good,1377.74,31.76751565,21 Years and 10 Months,No,226.89279190000002,215.4682977,High_spent_Medium_value_payments,792.0256602999999,1,1
198.11.136.24-10.42.0.211-443-39268-6,Charlie Zhur,31,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8.0,Good,1377.74,27.81335364,21 Years and 11 Months,No,226.89279190000002,254.5717672,High_spent_Large_value_payments,742.9221908,0,0
10.42.0.211-119.146.74.31-59047-443-6,Jamesj,44,Journalist,31370.8,2825.2333329999997,0,5,12,2,"Not Specified, and Payday Loan",4,0,5.76,2.0,Good,421.43,29.51935256,,NM,46.61612907,154.3527811,High_spent_Small_value_payments,341.5544232,0,0
239.255.255.250-10.42.0.1-1900-50220-17,Jamesj,44,Journalist,31370.8,2825.2333329999997,1,6,12,2,"Not Specified, and Payday Loan",2,0,-1.24,2.0,Good,421.43,28.22048096,26 Years and 6 Months,No,46.61612907,298.7444693,Low_spent_Small_value_payments,227.1627349,0,0
10.42.0.211-111.1.17.152-41402-80-6,Jamesj,44,Journalist,31370.8,2825.2333329999997,1,6,12,2,"Not Specified, and Payday Loan",-2,0,1.76,5.0,Good,421.43,31.04641791,26 Years and 7 Months,No,46.61612907,140.820696,Low_spent_Medium_value_payments,375.0865083,1,1
10.42.0.211-104.88.106.16-35562-80-6,Jamesj,44,Journalist,31370.8,2825.2333329999997,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,_,421.43,30.1680304,26 Years and 8 Months,No,46.61612907,233.6055264,Low_spent_Small_value_payments,292.3016778,0,0
10.42.0.211-10.42.0.1-20155-53-17,Jamesj,44,Journalist,31370.8,2825.2333329999997,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,_,421.43,25.18923173,26 Years and 9 Months,No,16415.0,184.7005716,Low_spent_Small_value_payments,341.20663260000003,1,1
10.42.0.151-36.110.213.49-59511-80-6,Jamesj,44,Journalist,31370.8,2825.2333329999997,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,Good,421.43,25.50246855,,No,46.61612907,137.7174249,Low_spent_Medium_value_payments,378.18977939999996,0,0
10.42.0.211-36.110.210.167-33975-80-6,Jamesj,45,Journalist,31370.8,2825.2333329999997,1,6,12,-100,"Not Specified, and Payday Loan",-1,2,5.76,5.0,Good,421.43,22.76220217,26 Years and 11 Months,No,46.61612907,188.3949005,Low_spent_Small_value_payments,337.51230380000004,1,1
10.42.0.211-23.66.169.49-33149-80-6,Jamesj,45,Journalist,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",-2,2,5.76,5.0,_,421.43,37.56505277,27 Years and 0 Months,No,46.61612907,252.6448272,Low_spent_Small_value_payments,273.26237710000004,0,0
10.42.0.42-85.93.5.109-46828-80-6,,40,Teacher,33751.27,2948.6058329999996,5,5,20,3_,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4.0,Standard,1328.93,37.08907565,19 Years and 2 Months,NM,65.00817429,117.3066971,High_spent_Medium_value_payments,362.5457119,1,1
10.42.0.211-106.11.94.6-58696-443-6,Saphirj,40,Teacher,33751.27,2948.6058329999996,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4.0,Standard,1328.93,30.90808063,19 Years and 3 Months,Yes,65.00817429,70.13107792,High_spent_Large_value_payments,399.72133110000004,1,1
203.205.158.62-10.42.0.151-80-43149-6,Saphirj,40,_______,33751.27,,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8.0,Standard,1328.93,38.03072168,19 Years and 4 Months,Yes,65.00817429,270.1825822,Low_spent_Large_value_payments,229.6698268,0,0
10.42.0.1-10.42.0.42-5351-43736-17,Saphirj,40,Teacher,33751.27,2948.6058329999996,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",17,22,11,8.0,Standard,1328.93,23.40441278,19 Years and 5 Months,Yes,65.00817429,25.19256191,High_spent_Large_value_payments,444.6598471,1,1
10.42.0.151-23.206.193.4-36573-80-6,Saphirj,40,Teacher,33751.27,2948.6058329999996,5,5,20,3_,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,8,8.0,Standard,1328.93,29.07375818,19 Years and 6 Months,Yes,65.00817429,243.3296848,Low_spent_Small_value_payments,276.52272430000005,0,0
172.217.9.234-10.42.0.151-443-40747-6,Saphirj,40,Teacher,33751.27,2948.6058329999996,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8.0,Standard,1328.93,32.78263673,19 Years and 7 Months,Yes,65.00817429,72.86008181,High_spent_Medium_value_payments,406.9923272,0,0
209.10.120.26-10.42.0.211-80-36657-6,Saphirj,40,Teacher,33751.27,2948.6058329999996,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8.0,Standard,1328.93,35.58400505,19 Years and 8 Months,Yes,65.00817429,35.42716954,!@9#%8,444.4252395,1,1
10.42.0.151-52.22.102.34-58136-443-6,Saphirj,41,Teacher,33751.27,2948.6058329999996,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,17,11,8.0,Standard,1328.93_,31.13948358,,Yes,65.00817429,25.96961191,High_spent_Large_value_payments,443.8827971,1,1
10.42.0.211-69.147.82.61-41640-443-6,Soyoungd,32,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",-1,0,3.51,3.0,Good,950.36,28.21061721,25 Years and 5 Months,No,135.173371,98.93176402,High_spent_Large_value_payments,732.5635317000001,0,0
172.217.9.225-10.42.0.211-443-59493-6,Soyoungd,33,Engineer,88640.24,7266.686667,3,6,433,2,"Payday Loan, and Payday Loan",4,2,3.51,3.0,Good,950.36,41.03616828,25 Years and 6 Months,NM,135.173371,157.1747883,High_spent_Large_value_payments,674.3205074,1,1
172.217.3.99-10.42.0.151-443-46838-17,Soyoungd,33,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3.0,Good,950.36,34.67019438,25 Years and 7 Months,No,135.173371,298.1889115,High_spent_Medium_value_payments,543.3063842,0,0
10.42.0.211-123.59.190.237-41212-80-6,Soyoungd,33,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3.0,Good,950.36,31.82853557,25 Years and 8 Months,No,135.173371,,Low_spent_Small_value_payments,86.63611983,1,1
